 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

Weapon                     Price          Enc | Availability         Reach         Damage | Qualities and Flaws
BASIC
Hand Weapon                                     1GC                   1                 Common               Average              +SB+4 | -
Improvised Weapon           N/A      Varies       N/A          Varies       +SB+1 | Undamaging
Dagger                                           16/-               0             Common         Very Short        +SB+2 | -
Knife                                               8/-                0             Common         Very Short | +SB+1 | Undamaging
Shield (Buckler)                           18/2               0             Common           Personal           +SB+1 | Shield 1, Defensive, Undamaging
Shield                                               2GC                il              Common          Very Short         +SB+2        Shield 2, Defensive, Undamaging
Shield (Large)                              3GC               3             Common         Very Short | +SB+3 | Shield 3, Defensive, Undamaging
CAVALRY
®M) Cavalry Hammer          3GC        3         Scarce         Long       +SB+5 | Pummel
Lance                                                         1GC                   3                       Rare                  Very Long | +SB+6* | Impact, Impale
FENCING
Foil               5GC     1     Scarce     Medium | +SB+3  ion om
Rapier                                           5GC               1                Scarce                 Long             +SB+4 | Fast, Impale
BRAWLING
Unarmed                                       N/A               0                    -                   Personal           +SB+0 | Undamaging
Knuckledusters                2/6         0       Common      Personal      +SB+2 | -
FLAIL
Grain Flail                                              10/-                   1                 Common               Average              +SB+3 | Distract, Imprecise, Wrap
Flail                                                                  2GC                     1                       Scarce                     Average                +SB+5 | Distract, Wrap
CMMilitary Flail                                 3GC                  2                       Rare                        Long                 +SB+6 | Distract, Impact, Tiring, Wrap
PARRY
Main Gauche                               1GC               0                  Rare              Very Short        +SB+2 | Defensive
Swordbreaker                                     1GC 2/6               ly                      Scarce                       Short                  +SB+3          Defensive, Trap-blade
POLEARM
MH alberd                                   2GC               3)             Common              Long             +SB+4 | Defensive, Hack, Impale
CHS pear                                         15/-               2             Common         Very Long         +SB+4 | Impale
CH)Pike                      18/-        4         Rare        Massive      +SB+4 | Impale
°MQuarter Staff               3/-        2}       Common        Long       +SB+4 | Defensive, Pummel
TWO-HANDED
eMBastard Sword                                  8GC                    3                       Scarce                        Long                   +SB+5 | Damaging, Defensive
MG reat Axe                                4GC               8                Scarce                 Long             +SB+6 | Hack, Impact, Tiring
CH)Pick                                            9/-                3             Common            Average           +SB+5 | Damaging, Impale
2M) Warhammer                            3GC               3             Common            Average           +SB+6 | Damaging, Pummel
eZ weihander                                       10GC                   3                       Scarce                        Long                   +SB+5 | Damaging, Hack

 

 

