Title,Price,Enc,Availability,Reach,Damage,Qualities and Flaws,Type,Art
Blunderbuss,2GC,1,Scarce,20,+8,Blast 3| Dangerous| Reload 2,TWO-HANDED - BLACKPOWDER,
Hochland Long Rifle,100GC,3,Exotic,100,+9,Accurate| Precise| Reload 4|Blackpowder| Damaging,TWO-HANDED - BLACKPOWDER,
Handgun,4GC,2,Scarce,50,+9,Dangerous| |Blackpowder| Damaging|Reload 3,TWO-HANDED - BLACKPOWDER,
Pistol,8GC,0,Rare,20,+8,Blackpowder|Damaging|Pistol| Reload 1,BLACKPOWDER,
Bow,10GC,2,Exotic,150,+SB+4,Damaging| Precise,TWO-HANDED - BOW,
Longbow,5GC,3,Scarce,100,+SB+4,Damaging,TWO-HANDED - BOW,
Bow,4GC,2,Common,50,+SB+3,-,TWO-HANDED - BOW,
Shortbow,3GC,1,Common,20,+SB+2,-,TWO-HANDED - BOW,
Crossbow Pistol,6GC,0,Scarce,10,+7,Pistol,CROSSBOW,
Heavy Crossbow,7GC,3,Rare,100,+9,Damaging| Reload 2,TWO-HANDED - CROSSBOW,
Crossbow,5GC,2,Common,60,+9,Reload 1,TWO-HANDED - CROSSBOW,
Repeater Handgun,10GC,3,Rare,30,+9,Dangerous|Reload 5|Blackpowder| Damaging| Repeater 4,TWO-HANDED - ENGINEERING,
Repeater Pistol,15GC,1,Rare,10,+8,Repeat|Blackpowder| Damaging,ENGINEERING,
Lasso,6/-,0,Common,SBx2,a,Entangle,ENTANGLING,
Whip,5/-,0,Common,6,+SB+2,Entangle,ENTANGLING,
Bomb,3GC,0,Rare,SB,+12,Blast 5| Dangerous| Impact,EXPLOSIVES,
Incendiary,1GC,0,Scarce,SB,Special,Blast 4| Dangerous,EXPLOSIVES,
Sling,1/-,0,Common,60,+6,=,SLING,
Staff Sling,4/-,2,Scarce,100,+7,=,TWO-HANDED - SLING,
Bolas,10/—,0,Rare,SBx3,+SB,Entangle,THROWING,
Dart,2/—,0,Scarce,SBx2,+SB+1,Impale,THROWING,
Javelin,10/6,1,Scarce,SBx3,+SB+3,Impale,THROWING,
Rock,-,0,Common,SBx3,+SB+0,-,THROWING,
Throwing Axe,1GC,1,Average,SBx2,+SB+3,Hack,THROWING,
Throwing Knife,18/-,0,Common,SBx2,+SB+2,-,THROWING,
